"ARK","CREATE_DATE","CREATED_BY","LAST_MODIFIED_DATE","LAST_MODIFIED_BY","PARENT_ARK","SEQUENCE","STATUS","TITLE","TYPE"
"21198/zz0015w61v",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",74,"Completed","Interview of James Bardwell","Interview"
"21198/zz0015wb8d",14-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009063h",51,"Completed","Interview of Edwin R. Chapman","Interview"
"21198/zz0015wb9x",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",106,"Completed","Interview of Kathleen L. Collins","Interview"
"21198/zz0015wbgh",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",103,"Completed","Interview of Julia P. Cooper","Interview"
"21198/zz0015wbmk",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",72,"Completed","Interview of James A. Goodrich","Interview"
"21198/zz0015wbzr",14-JAN-09,"oralhistory@library.ucla.edu",28-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009063h",128,"Completed","Interview of Mark W. Grinstaff","Interview"
"21198/zz0015wc0r",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",132,"Completed","Interview of Marnie E. Halpern","Interview"
"21198/zz0015wc9d",14-JAN-09,"oralhistory@library.ucla.edu",18-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",21,"Completed","Interview of Bruce A. Hamilton","Interview"
"21198/zz0015wcfg",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",205,"Completed","Interview of Xi He","Interview"
"21198/zz0015wchh",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",160,"Completed","Interview of Rebecca W. Heald","Interview"
"21198/zz0015wcsn",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",181,"Completed","Interview of Stephen L. Johnson","Interview"
"21198/zz0015wct5",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",47,"Completed","Interview of Douglas R. Kellogg","Interview"
"21198/zz0015wd1r",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",176,"Completed","Interview of Seung K. Kim","Interview"
"21198/zz0015wd28",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",142,"Completed","Interview of Michael R. Koelle","Interview"
"21198/zz0015wd8c",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",119,"Completed","Interview of Makoto Kuro-o","Interview"
"21198/zz0015wd9w",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",112,"Completed","Interview of Kuo-Fen Lee","Interview"
"21198/zz0015wddf",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",55,"Completed","Interview of Fenyong Liu","Interview"
"21198/zz0015wdmj",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",169,"Completed","Interview of Roy M. Long","Interview"
"21198/zz0015wdq3",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",111,"Completed","Interview of Kun Ping Lu","Interview"
"21198/zz0015wdwp",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",136,"Completed","Interview of Matthew L. Meyerson","Interview"
"21198/zz0015wf8v",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",49,"Completed","Interview of Earl K. Miller","Interview"
"21198/zz0015wg06",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",46,"Completed","Interview of Dimitar B. Nikolov","Interview"
"21198/zz0015wg1q",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",67,"Completed","Interview of Hans C. Oettgen","Interview"
"21198/zz0015wg27",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",171,"Completed","Interview of Samuel L. Pfaff","Interview"
"21198/zz0015wg7t",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",140,"Completed","Interview of Michael D. Sheets","Interview"
"21198/zz0015wg8b",14-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",109,"Completed","Interview of Kevan M. Shokat","Interview"
"21198/zz0015wkvk",15-JAN-09,"oralhistory@ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",117,"Completed","Interview of Lilianna Solnica-Krezel","Interview"
"21198/zz0015wkw3",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",94,"Completed","Interview of John Sondek","Interview"
"21198/zz0015wkxm",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",105,"Completed","Interview of Karel Svoboda","Interview"
"21198/zz0015wkz4",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",202,"Completed","Interview of William S. Talbot","Interview"
"21198/zz0015wm04",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",196,"Completed","Interview of Toshio Tsukiyama","Interview"
"21198/zz0015wm1n",15-JAN-09,"oralhistory@library.ucla.edu",28-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009063h",68,"Completed","Interview of Henrique P. Von Gersdorff","Interview"
"21198/zz0015wm25",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",135,"Completed","Interview of Matthew K. Waldor","Interview"
"21198/zz0015wm3p",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",201,"Completed","Interview of William I. Weis","Interview"
"21198/zz0015wm46",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",193,"Completed","Interview of Tian Xu","Interview"
"21198/zz0015wm5q",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",208,"Completed","Interview of Yixian Zheng","Interview"
"21198/zz0015wm67",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",207,"Completed","Interview of Yi Zhong","Interview"
"21198/zz0015wm7r",15-JAN-09,"oralhistory@library.ucla.edu",19-MAY-20,"oralhistory@library.ucla.edu","21198/zz0009063h",212,"Completed","Interview of Z. Hong Zhou","Interview"
"21198/zz0015wsvg",16-JAN-09,"oralhistory@library.ucla.edu",24-APR-09,"tbarnett@library.ucla.edu","21198/zz0008zpfk",1,"In progress","TAPE NUMBER: I, SIDE ONE (JULY 10, 1968)","Audio"
"21198/zz0015wsw0",16-JAN-09,"oralhistory@library.ucla.edu",24-APR-09,"tbarnett@library.ucla.edu","21198/zz0008zpfk",2,"In progress","TAPE NUMBER: I, SIDE TWO (JULY 10, 1968)","Audio"
"21198/zz0015xbxp",20-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009065j",,"Completed","Interview of Louis Alexander","Interview"
"21198/zz0015xbz6",20-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009065j",,"Completed","Interview of Howard W. Crooke","Interview"
"21198/zz0015xc06",20-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009065j",,"Completed","Interview of Edward F. Dibble","Interview"
"21198/zz0015xc1q",20-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009065j",,"Completed","Interview of Fred Heilbron","Interview"
"21198/zz0015xdvm",20-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009065j",,"Completed","Interview of Frank Twohy","Interview"
"21198/zz0015xdw4",20-JAN-09,"oralhistory@library.ucla.edu",11-JUN-20,"oralhistory@library.ucla.edu","21198/zz00090662",,"Completed","Interview of James Howe Van Norman","Interview"
"21198/zz0015z39f",21-JAN-09,"oralhistory@library.ucla.edu",25-NOV-20,"tbarnett@library.ucla.edu","21198/zz00093sk9",34,"Completed","Interview of Jorge Preloran","Interview"
"21198/zz0015z3fh",21-JAN-09,"oralhistory@library.ucla.edu",25-NOV-20,"tbarnett@library.ucla.edu","21198/zz00093sk9",42,"Completed","Interview of Larry Gelbart","Interview"
"21198/zz0015z6wp",21-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz00097r1b",,"Completed","Interview of Marina Goldovskaya","Interview"
"21198/zz0015z8gf",21-JAN-09,"oralhistory@library.ucla.edu",17-SEP-20,"oralhistory@library.ucla.edu","21198/zz00098t49",,"Completed","Interview of Roberto Miranda","Interview"
"21198/zz00160fgq",26-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz000990d9",,"In progress","Interview of Alice McGrath (2003)","Interview"
"21198/zz00161mjm",29-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009063h",14,"Completed","Interview of Ariel Ruiz i Altaba","Interview"
"21198/zz00161mk4",29-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009063h",32,"Completed","Interview of Cheng-Ming Chiang","Interview"
"21198/zz00161mmn",29-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009063h",10,"Completed","Interview of Ann B. Hill","Interview"
"21198/zz00161mn5",29-JAN-09,"oralhistory@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009063h",39,"Completed","Interview of David D. Ginty","Interview"
"21198/zz00162wt2",02-FEB-09,"oralhistory@library.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",195,"Completed","Interview of Lawrence Clark Powell (1963)","Interview"
"21198/zz00162xkx",02-FEB-09,"oralhistory@library.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",48,"Completed","Interview of Clara Castelnuovo-Tedesco","Interview"
"21198/zz001633cp",03-FEB-09,"oralhistory@library.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",194,"Completed","Interview of LaRee Caughey","Interview"
"21198/zz001633d6",03-FEB-09,"oralhistory@library.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",222,"Completed","Interview of Marguerite May Lawson","Interview"
"21198/zz001633hr",03-FEB-09,"oralhistory@library.ucla.edu",08-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",28,"Completed","Interview of Barbara Meiers","Interview"
"21198/zz00163smz",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",1,"Completed","TAPE NUMBER:  I, Side One (March 6, 2003)","Audio"
"21198/zz00163sng",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",2,"Completed","TAPE NUMBER:  I, Side Two (March 6, 2003)","Audio"
"21198/zz00163sp0",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",3,"Completed","TAPE NUMBER:  II, Side One (March 13, 2003)","Audio"
"21198/zz00163sqh",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",4,"Completed","TAPE NUMBER:  II, Side Two (March 13, 2003)","Audio"
"21198/zz00163sr1",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",5,"Completed","TAPE NUMBER:  III, Side One (March 13, 2003)","Audio"
"21198/zz00163ssj",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",6,"Completed","TAPE NUMBER:  IV, Side One (March 27, 2003)","Audio"
"21198/zz00163st2",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",7,"Completed","TAPE NUMBER:  IV, Side Two (March 27, 2003)","Audio"
"21198/zz00163svk",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",8,"Completed","TAPE NUMBER:  V, Side One (April 3, 2003)","Audio"
"21198/zz00163sw3",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",9,"Completed","TAPE NUMBER:  V, Side Two (April 3, 2003)","Audio"
"21198/zz00163sxm",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",10,"Completed","TAPE NUMBER:  VI, Side One (April 3, 2003)","Audio"
"21198/zz00163sz4",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",11,"Completed","TAPE NUMBER:  VII, Side One (April 10, 2003)","Audio"
"21198/zz00163t04",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",12,"Completed","TAPE NUMBER:  VII, Side Two (April 10, 2003)","Audio"
"21198/zz00163t1n",05-FEB-09,"oralhistory@library.ucla.edu",19-MAY-09,"oralhistory@library.ucla.edu","21198/zz0009fqpc",13,"Completed","TAPE NUMBER:  VIII, Side One (April 10, 2003)","Audio"
"21198/zz00163vsh",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zqdj",1,"Completed","TAPE NUMBER:  I, Side One (May 31, 1993)","Audio"
"21198/zz00163vt1",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zqdj",2,"Completed","TAPE NUMBER:  II, Side One (June 11, 1993)","Audio"
"21198/zz00163vvj",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zqdj",3,"Completed","TAPE NUMBER:  II, Side Two (June 11, 1993)","Audio"
"21198/zz00163vw2",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zqdj",4,"Completed","TAPE NUMBER:  III, Side One (June 15, 1993)","Audio"
"21198/zz00163vxk",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zqdj",5,"Completed","TAPE NUMBER:  III, Side Two (June 15, 1993)","Audio"
"21198/zz00163vz3",05-FEB-09,"oralhistory@library.ucla.edu",24-JAN-13,"oralhistory@library.ucla.edu","21198/zz0008zqzt",1,"Completed","TAPE NUMBER:  I, Side One (September 12, 1992)","Audio"
"21198/zz00163w03",05-FEB-09,"oralhistory@library.ucla.edu",24-JAN-13,"oralhistory@library.ucla.edu","21198/zz0008zqzt",2,"Completed","TAPE NUMBER:  I, Side Two (September 12, 1992)","Audio"
"21198/zz00163w1m",05-FEB-09,"oralhistory@library.ucla.edu",24-JAN-13,"oralhistory@library.ucla.edu","21198/zz0008zqzt",3,"Completed","TAPE NUMBER:  II, Side One (September 26, 1992)","Audio"
"21198/zz00163wrg",05-FEB-09,"oralhistory@library.ucla.edu",23-FEB-12,"oralhistory@library.ucla.edu","21198/zz0008zqmn",1,"Completed","TAPE NUMBER:  I, Side One (July 18, 1992)","Audio"
"21198/zz00163ws0",05-FEB-09,"oralhistory@library.ucla.edu",23-FEB-12,"oralhistory@library.ucla.edu","21198/zz0008zqmn",2,"Completed","TAPE NUMBER:  I, Side Two (July 18, 1992)","Audio"
"21198/zz00163wth",05-FEB-09,"oralhistory@library.ucla.edu",23-FEB-12,"oralhistory@library.ucla.edu","21198/zz0008zqmn",3,"Completed","TAPE NUMBER:  II, Side One (July 18, 1992)","Audio"
"21198/zz00163wv1",05-FEB-09,"oralhistory@library.ucla.edu",23-FEB-12,"oralhistory@library.ucla.edu","21198/zz0008zqmn",4,"Completed","TAPE NUMBER:  III, Side One (June 5, 1993)","Audio"
"21198/zz00163wwj",05-FEB-09,"oralhistory@library.ucla.edu",23-FEB-12,"oralhistory@library.ucla.edu","21198/zz0008zqmn",5,"Completed","TAPE NUMBER: III, Side Two (June 5, 1993)","Audio"
"21198/zz00163wx2",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",1,"Completed","TAPE NUMBER:  I, Side One (April 21, 1994)","Audio"
"21198/zz00163wzk",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",2,"Completed","TAPE NUMBER:  I, Side Two (April 21, 1994)","Audio"
"21198/zz00163x0k",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",3,"Completed","TAPE NUMBER:  II, Side One (April 25, 1994)","Audio"
"21198/zz00163x13",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",4,"Completed","TAPE NUMBER:  II, Side Two (April 25, 1994)","Audio"
"21198/zz00163x2m",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",5,"Completed","TAPE NUMBER:  III, Side One (May 2, 1994)","Audio"
"21198/zz00163x34",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",6,"Completed","TAPE NUMBER:  III, Side Two (May 2, 1994)","Audio"
"21198/zz00163x4n",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",7,"Completed","TAPE NUMBER:  IV, Side One (May 4, 1994)","Audio"
"21198/zz00163x55",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",8,"Completed","TAPE NUMBER:  IV, Side Two (May 4, 1994)","Audio"
"21198/zz00163x6p",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",9,"Completed","TAPE NUMBER:  V, Side One (May 9, 1994)","Audio"
"21198/zz00163x76",05-FEB-09,"oralhistory@library.ucla.edu",05-FEB-09,"oralhistory@library.ucla.edu","21198/zz0008zsmm",10,"Completed","TAPE NUMBER:  V, Side Two (May 9, 1994)","Audio"
"21198/zz00163xz2",05-FEB-09,"oralhistory@library.ucla.edu",13-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009frjs",1,"In progress","TAPE NUMBER: I, Side One (May 9, 2002)","Audio"
"21198/zz00163z02",05-FEB-09,"oralhistory@library.ucla.edu",13-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009frjs",2,"In progress","TAPE NUMBER: I, Side Two (May 9, 2002)","Audio"
"21198/zz00163z1k",05-FEB-09,"oralhistory@library.ucla.edu",13-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009frjs",3,"In progress","TAPE NUMBER: II, Side One (May 30, 2002)","Audio"
"21198/zz00163z23",05-FEB-09,"oralhistory@library.ucla.edu",13-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009frjs",4,"In progress","TAPE NUMBER: II, Side Two (May 30, 2002)","Audio"
"21198/zz00163z3m",05-FEB-09,"oralhistory@library.ucla.edu",13-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009frjs",5,"In progress","TAPE NUMBER: III, Side One (February 25, 2003)","Audio"
"21198/zz00163z44",05-FEB-09,"oralhistory@library.ucla.edu",13-FEB-09,"oralhistory@library.ucla.edu","21198/zz0009frjs",6,"In progress","TAPE NUMBER: III, Side Two (February 25, 2003)","Audio"
"21198/zz001644b3",05-FEB-09,"oralhistory@library.ucla.edu",05-OCT-09,"oralhistory@library.ucla.edu","21198/zz0009fqqw",3,"Completed","TAPE NUMBER:  II, Side One (September 16, 2000 )","Audio"
"21198/zz001644cm",05-FEB-09,"oralhistory@library.ucla.edu",05-OCT-09,"oralhistory@library.ucla.edu","21198/zz0009fqqw",5,"Completed","TAPE NUMBER: III, Side Two (September 23, 2000)","Audio"
"21198/zz001644d4",05-FEB-09,"oralhistory@library.ucla.edu",14-OCT-15,"nehodge@library.ucla.edu","21198/zz0009fqqw",7,"Completed","TAPE NUMBER: V, Side One (October 28, 2000)","Audio"
"21198/zz001644fn",05-FEB-09,"oralhistory@library.ucla.edu",14-OCT-15,"nehodge@library.ucla.edu","21198/zz0009fqqw",8,"Completed","TAPE NUMBER: V, Side Two (October 28, 2000 )","Audio"
"21198/zz00175rwx",10-FEB-09,"oralhistory@library.ucla.edu",14-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",220,"Completed","Interview of Margaret Kiskadden","Interview"
"21198/zz00175s41",10-FEB-09,"oralhistory@library.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",54,"Completed","Interview of Corinne A. Seeds","Interview"
"21198/zz00175s62",10-FEB-09,"oralhistory@library.ucla.edu",09-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",165,"Completed","Interview of Jean Trapnell","Interview"
"21198/zz00175s83",10-FEB-09,"oralhistory@library.ucla.edu",30-JUL-20,"oralhistory@library.ucla.edu","21198/zz000904xz",59,"Completed","Interview of Diana Anderson","Interview"
"21198/zz00175sb4",10-FEB-09,"oralhistory@library.ucla.edu",20-AUG-20,"oralhistory@library.ucla.edu","21198/zz000904xz",214,"Completed","Interview of Madeline Hunter","Interview"
"21198/zz001769vk",11-FEB-09,"oralhistory@library.ucla.edu",16-JUN-20,"oralhistory@library.ucla.edu","21198/zz00095wb1",,"Completed","Interview of Richard Dedeaux","Interview"
"21198/zz00176fpx",11-FEB-09,"oralhistory@library.ucla.edu",11-FEB-09,"oralhistory@library.ucla.edu","21198/zz0015vq67",1,"In progress","Session 1","Audio"
"21198/zz00176fqf",11-FEB-09,"oralhistory@library.ucla.edu",11-FEB-09,"oralhistory@library.ucla.edu","21198/zz0015vq67",2,"In progress","Session 2","Audio"
"21198/zz00176frz",11-FEB-09,"oralhistory@library.ucla.edu",11-FEB-09,"oralhistory@library.ucla.edu","21198/zz0015vq67",3,"In progress","Session 3","Audio"
"21198/zz00177mtv",18-FEB-09,"oralhistory@library.ucla.edu",28-SEP-20,"oralhistory@library.ucla.edu","21198/zz0009063h",133,"Completed","Interview of Martin Latterich","Interview"
"21198/zz00177mxd",18-FEB-09,"oralhistory@library.ucla.edu",10-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",332,"Completed","Interview of Thomas Bradley (1996)","Interview"
"21198/zz00177rrr",18-FEB-09,"oralhistory@library.ucla.edu",03-MAR-10,"oralhistory@library.ucla.edu","21198/zz00096b6p",3,"Completed","SESSION 3 (6/25/07)","Audio"
"21198/zz00178h0f",24-FEB-09,"oralhistory@library.ucla.edu",09-APR-20,"oralhistory@library.ucla.edu","21198/zz000955sm",31,"Completed","Interview of Walter Ott","Interview"
"21198/zz00178h1z",24-FEB-09,"oralhistory@library.ucla.edu",21-SEP-20,"oralhistory@library.ucla.edu","21198/zz000905h7",,"Completed","Interview of Earl Robinson","Interview"
"21198/zz00178h30",24-FEB-09,"oralhistory@library.ucla.edu",08-SEP-20,"oralhistory@library.ucla.edu","21198/zz000904xz",3,"Completed","Interview of Adaline C. Guenther","Interview"
"21198/zz001798tx",02-MAR-09,"oralhistory@library.ucla.edu",03-SEP-10,"tbarnett@library.ucla.edu","21198/zz00096b76",2,"Completed","SESSION 2 (12/14/2006)","Audio"
"21198/zz001798xg",02-MAR-09,"oralhistory@library.ucla.edu",03-SEP-10,"tbarnett@library.ucla.edu","21198/zz00096b76",7,"Completed","SESSION 6 (2/9/2007)","Audio"
"21198/zz00179900",02-MAR-09,"oralhistory@library.ucla.edu",06-MAR-20,"tbarnett@library.ucla.edu","21198/zz00096b76",10,"Sealed","SEALED AUDIO SESSION 5 (2/2/2007)","Audio"
"21198/zz00179drt",03-MAR-09,"oralhistory@library.ucla.edu",04-JUN-21,"tbarnett@library.ucla.edu","21198/zz00093sk9",22,"Completed","Interview of Gloria Werner","Interview"
"21198/zz00179gh5",03-MAR-09,"oralhistory@library.ucla.edu",01-OCT-20,"oralhistory@library.ucla.edu","21198/zz0009060z",,"Completed","Interview of Lucy Killea","Interview"
"21198/zz00179mq6",04-MAR-09,"oralhistory@library.ucla.edu",30-APR-18,"tbarnett@library.ucla.edu","21198/zz0008zh0f",92,"Completed","Venice Family Clinic","Series"
"21198/zz00179s7c",04-MAR-09,"oralhistory@library.ucla.edu",23-JUL-20,"oralhistory@library.ucla.edu","21198/zz00093sk9",55,"Completed","Interview of Miriam Matthews","Interview"
"21198/zz0017jrtt",11-MAR-09,"oralhistory@library.ucla.edu",25-NOV-20,"tbarnett@library.ucla.edu","21198/zz00093sk9",15,"Completed","Interview of Elinor Glenn","Interview"
"21198/zz0017nmkm",06-APR-09,"oralhistory@library.ucla.edu",11-NOV-22,"jcolling@library.ucla.edu","21198/zz00093sk9",38,"In progress","Interview of Katarina Davis del Valle","Interview"
"21198/zz0017p5sw",09-APR-09,"sdavison-user@library.ucla.edu",25-SEP-20,"oralhistory@library.ucla.edu","21198/zz000smx3h",9,"Completed","Interview of Lilia Aceves","Interview"
"21198/zz0017p5td",09-APR-09,"sdavison-user@library.ucla.edu",21-JUN-12,"oralhistory@library.ucla.edu","21198/zz0017p5sw",1,"Completed","SESSION 1 (12/11/2008)","Audio"
"21198/zz0017s50b",28-APR-09,"oralhistory@library.ucla.edu",07-MAY-10,"tbarnett@library.ucla.edu","21198/zz0008zhf5",1,"Completed","TAPE NUMBER: I, Side One (July 24, 1986)","Audio"
"21198/zz0017s51v",28-APR-09,"oralhistory@library.ucla.edu",07-MAY-10,"tbarnett@library.ucla.edu","21198/zz0008zhf5",2,"Completed","TAPE NUMBER: I, Side Two (July 24, 1986)","Audio"
"21198/zz0017s52c",28-APR-09,"oralhistory@library.ucla.edu",14-APR-14,"oralhistory@library.ucla.edu","21198/zz0008zhf5",3,"Completed","TAPE NUMBER: II, Side One (July 24, 1986)","Audio"
"21198/zz0017s53w",28-APR-09,"oralhistory@library.ucla.edu",14-APR-14,"oralhistory@library.ucla.edu","21198/zz0008zhf5",4,"Completed","TAPE NUMBER: II, Side Two (July 24, 1986)","Audio"
"21198/zz0017s54d",28-APR-09,"oralhistory@library.ucla.edu",07-MAY-10,"tbarnett@library.ucla.edu","21198/zz0008zhf5",5,"Completed","TAPE NUMBER: III, Side One (October 2, 1986)","Audio"
